property,value,state,condition,subject
rate,0.6914735028100727,NREM,late-recovery,Valentino
duration,0.07037647058823528,wake,late-recovery,Valentino
sink_amplitude,0.04260622273584973,wake,late-recovery,Valentino
sink_integral,1.957443096485786,wake,late-recovery,Valentino
count,1122.0,wake,late-recovery,Valentino
rate,0.32020545714175785,wake,late-recovery,Valentino
duration,0.06994114040466283,all-SPW-states,late-recovery,Valentino
sink_amplitude,0.041087290075495615,all-SPW-states,late-recovery,Valentino
sink_integral,1.8584115814216746,all-SPW-states,late-recovery,Valentino
count,1631.0,all-SPW-states,late-recovery,Valentino
rate,0.45381314183888793,all-SPW-states,late-recovery,Valentino
duration,0.07140930309551606,NREM,first2h-recovery,Valentino
sink_amplitude,0.04222295156748098,NREM,first2h-recovery,Valentino
sink_integral,1.9395500136780974,NREM,first2h-recovery,Valentino
count,6041.0,NREM,first2h-recovery,Valentino
rate,0.8397310270110846,NREM,first2h-recovery,Valentino
duration,0.07331941391941843,wake,first2h-recovery,Valentino
sink_amplitude,0.04411761908825051,wake,first2h-recovery,Valentino
sink_integral,2.1234073810563414,wake,first2h-recovery,Valentino
count,1638.0,wake,first2h-recovery,Valentino
rate,0.3226950046621196,wake,first2h-recovery,Valentino
duration,0.07204567901234962,all-SPW-states,first2h-recovery,Valentino
sink_amplitude,0.04285814445124293,all-SPW-states,first2h-recovery,Valentino
sink_integral,1.9918190466029737,all-SPW-states,first2h-recovery,Valentino
count,5508.0,all-SPW-states,first2h-recovery,Valentino
rate,0.7694908098606322,all-SPW-states,first2h-recovery,Valentino
duration,0.0669148106986771,NREM,baseline-light-period,Valentino
sink_amplitude,0.03951975048311952,NREM,baseline-light-period,Valentino
sink_integral,1.7331028934686368,NREM,baseline-light-period,Valentino
count,13497.0,NREM,baseline-light-period,Valentino
rate,0.5935883227273361,NREM,baseline-light-period,Valentino
duration,0.06626479949077009,wake,baseline-light-period,Valentino
sink_amplitude,0.04095697159670558,wake,baseline-light-period,Valentino
sink_integral,1.7863520387524652,wake,baseline-light-period,Valentino
count,3142.0,wake,baseline-light-period,Valentino
rate,0.20695601162953825,wake,baseline-light-period,Valentino
