band,region,power,state,condition,subject
delta,sr_wm_ref,315968.0030142297,NREM,baseline-light-period,Segundo
theta,mpta_wm_ref,59500.533389161166,NREM,baseline-light-period,Segundo
theta,sr_wm_ref,285926.9866328309,NREM,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1105.0005029930085,NREM,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,5436.092861376976,NREM,baseline-light-period,Segundo
low_delta,mpta_wm_ref,8846.82388326541,wake,baseline-light-period,Segundo
low_delta,sr_wm_ref,34321.66789102186,wake,baseline-light-period,Segundo
delta,mpta_wm_ref,17541.093964263084,wake,baseline-light-period,Segundo
delta,sr_wm_ref,102581.77706487667,wake,baseline-light-period,Segundo
theta,mpta_wm_ref,9578.124769904756,wake,baseline-light-period,Segundo
theta,sr_wm_ref,200769.9074537193,wake,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1235.6877278121246,wake,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,3379.985646306496,wake,baseline-light-period,Segundo
low_delta,mpta_wm_ref,31637.117470610843,all-SPW-states,baseline-light-period,Segundo
low_delta,sr_wm_ref,73548.09988148438,all-SPW-states,baseline-light-period,Segundo
delta,mpta_wm_ref,72316.6102875683,all-SPW-states,baseline-light-period,Segundo
delta,sr_wm_ref,223769.69225984387,all-SPW-states,baseline-light-period,Segundo
theta,mpta_wm_ref,33255.51145576877,all-SPW-states,baseline-light-period,Segundo
theta,sr_wm_ref,246770.85339854812,all-SPW-states,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1144.3348917073336,all-SPW-states,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,4740.6017594067625,all-SPW-states,baseline-light-period,Segundo
low_delta,mpta_wm_ref,45747.458089870146,NREM,first2h-recovery-match,Segundo
low_delta,sr_wm_ref,97180.89641164773,NREM,first2h-recovery-match,Segundo
delta,mpta_wm_ref,99394.12928726524,NREM,first2h-recovery-match,Segundo
delta,sr_wm_ref,277602.63016405725,NREM,first2h-recovery-match,Segundo
theta,mpta_wm_ref,43762.378111894795,NREM,first2h-recovery-match,Segundo
theta,sr_wm_ref,281233.4068783027,NREM,first2h-recovery-match,Segundo
fast_gamma,mpta_wm_ref,1177.4531574401553,NREM,first2h-recovery-match,Segundo
fast_gamma,sr_wm_ref,5634.326425713317,NREM,first2h-recovery-match,Segundo
low_delta,mpta_wm_ref,8658.68757310823,wake,first2h-recovery-match,Segundo
low_delta,sr_wm_ref,31662.837036344336,wake,first2h-recovery-match,Segundo
delta,mpta_wm_ref,16894.372966624207,wake,first2h-recovery-match,Segundo
delta,sr_wm_ref,96794.29528927093,wake,first2h-recovery-match,Segundo
theta,mpta_wm_ref,8831.787406966047,wake,first2h-recovery-match,Segundo
theta,sr_wm_ref,193791.49490345156,wake,first2h-recovery-match,Segundo
fast_gamma,mpta_wm_ref,1270.9565030348044,wake,first2h-recovery-match,Segundo
fast_gamma,sr_wm_ref,3382.929932450008,wake,first2h-recovery-match,Segundo
low_delta,mpta_wm_ref,24655.81061208804,all-SPW-states,first2h-recovery-match,Segundo
low_delta,sr_wm_ref,69713.81564535457,all-SPW-states,first2h-recovery-match,Segundo
delta,mpta_wm_ref,52709.73878633209,all-SPW-states,first2h-recovery-match,Segundo
delta,sr_wm_ref,207026.44652439473,all-SPW-states,first2h-recovery-match,Segundo
theta,mpta_wm_ref,25375.930439193347,all-SPW-states,first2h-recovery-match,Segundo
theta,sr_wm_ref,241614.4179387336,all-SPW-states,first2h-recovery-match,Segundo
fast_gamma,mpta_wm_ref,1173.003605545768,all-SPW-states,first2h-recovery-match,Segundo
fast_gamma,sr_wm_ref,4660.082237339173,all-SPW-states,first2h-recovery-match,Segundo
low_delta,mpta_wm_ref,88192.36749933947,NREM,deprivation,Segundo
low_delta,sr_wm_ref,151180.8309928579,NREM,deprivation,Segundo
delta,mpta_wm_ref,538598.9889352233,NREM,deprivation,Segundo
delta,sr_wm_ref,534289.094228448,NREM,deprivation,Segundo
theta,mpta_wm_ref,109938.9162036465,NREM,deprivation,Segundo
theta,sr_wm_ref,403249.5336734185,NREM,deprivation,Segundo
fast_gamma,mpta_wm_ref,1388.025982681867,NREM,deprivation,Segundo
fast_gamma,sr_wm_ref,7888.7333873041225,NREM,deprivation,Segundo
low_delta,mpta_wm_ref,8593.812150183781,wake,deprivation,Segundo
low_delta,sr_wm_ref,46153.88024783274,wake,deprivation,Segundo
delta,mpta_wm_ref,17098.598357389576,wake,deprivation,Segundo
delta,sr_wm_ref,123893.84435536926,wake,deprivation,Segundo
theta,mpta_wm_ref,9899.837470045148,wake,deprivation,Segundo
theta,sr_wm_ref,210997.0414202482,wake,deprivation,Segundo
fast_gamma,mpta_wm_ref,1778.381350309388,wake,deprivation,Segundo
fast_gamma,sr_wm_ref,5931.075856380263,wake,deprivation,Segundo
low_delta,mpta_wm_ref,8938.823403819448,all-SPW-states,deprivation,Segundo
low_delta,sr_wm_ref,47950.35403610672,all-SPW-states,deprivation,Segundo
delta,mpta_wm_ref,17613.736823686377,all-SPW-states,deprivation,Segundo
delta,sr_wm_ref,128527.43295261718,all-SPW-states,deprivation,Segundo
theta,mpta_wm_ref,10095.153881465296,all-SPW-states,deprivation,Segundo
theta,sr_wm_ref,213926.70311163552,all-SPW-states,deprivation,Segundo
fast_gamma,mpta_wm_ref,1755.36094532231,all-SPW-states,deprivation,Segundo
fast_gamma,sr_wm_ref,5997.26292624515,all-SPW-states,deprivation,Segundo
low_delta,mpta_wm_ref,88192.36749933947,NREM,early-deprivation,Segundo
low_delta,sr_wm_ref,151180.8309928579,NREM,early-deprivation,Segundo
delta,mpta_wm_ref,538598.9889352233,NREM,early-deprivation,Segundo
delta,sr_wm_ref,534289.094228448,NREM,early-deprivation,Segundo
theta,mpta_wm_ref,109938.9162036465,NREM,early-deprivation,Segundo
theta,sr_wm_ref,403249.5336734185,NREM,early-deprivation,Segundo
fast_gamma,mpta_wm_ref,1388.025982681867,NREM,early-deprivation,Segundo
fast_gamma,sr_wm_ref,7888.7333873041225,NREM,early-deprivation,Segundo
low_delta,mpta_wm_ref,8558.257013883785,wake,early-deprivation,Segundo
low_delta,sr_wm_ref,38237.889474663156,wake,early-deprivation,Segundo
delta,mpta_wm_ref,15743.012651414543,wake,early-deprivation,Segundo
delta,sr_wm_ref,100617.72510423865,wake,early-deprivation,Segundo
theta,mpta_wm_ref,7629.116708459895,wake,early-deprivation,Segundo
theta,sr_wm_ref,189100.92649254104,wake,early-deprivation,Segundo
fast_gamma,mpta_wm_ref,1624.0965434408163,wake,early-deprivation,Segundo
fast_gamma,sr_wm_ref,4690.162224662747,wake,early-deprivation,Segundo
low_delta,mpta_wm_ref,8558.257013883785,all-SPW-states,early-deprivation,Segundo
low_delta,sr_wm_ref,38237.889474663156,all-SPW-states,early-deprivation,Segundo
delta,mpta_wm_ref,15743.012651414543,all-SPW-states,early-deprivation,Segundo
delta,sr_wm_ref,100617.72510423865,all-SPW-states,early-deprivation,Segundo
theta,mpta_wm_ref,7629.116708459895,all-SPW-states,early-deprivation,Segundo
theta,sr_wm_ref,189100.92649254104,all-SPW-states,early-deprivation,Segundo
fast_gamma,mpta_wm_ref,1624.0965434408163,all-SPW-states,early-deprivation,Segundo
fast_gamma,sr_wm_ref,4690.162224662747,all-SPW-states,early-deprivation,Segundo
low_delta,mpta_wm_ref,88192.36749933947,NREM,late-deprivation,Segundo
low_delta,sr_wm_ref,151180.8309928579,NREM,late-deprivation,Segundo
delta,mpta_wm_ref,538598.9889352233,NREM,late-deprivation,Segundo
delta,sr_wm_ref,534289.094228448,NREM,late-deprivation,Segundo
theta,mpta_wm_ref,109938.9162036465,NREM,late-deprivation,Segundo
theta,sr_wm_ref,403249.5336734185,NREM,late-deprivation,Segundo
fast_gamma,mpta_wm_ref,1388.025982681867,NREM,late-deprivation,Segundo
fast_gamma,sr_wm_ref,7888.7333873041225,NREM,late-deprivation,Segundo
low_delta,mpta_wm_ref,8580.445374216957,wake,late-deprivation,Segundo
low_delta,sr_wm_ref,55227.93311056221,wake,late-deprivation,Segundo
delta,mpta_wm_ref,17102.266399659267,wake,late-deprivation,Segundo
delta,sr_wm_ref,143405.55380321722,wake,late-deprivation,Segundo
theta,mpta_wm_ref,10812.914706396652,wake,late-deprivation,Segundo
theta,sr_wm_ref,226605.6535389902,wake,late-deprivation,Segundo
fast_gamma,mpta_wm_ref,1841.7346655784766,wake,late-deprivation,Segundo
fast_gamma,sr_wm_ref,6863.480817288665,wake,late-deprivation,Segundo
low_delta,mpta_wm_ref,11512.184999036457,all-SPW-states,late-deprivation,Segundo
low_delta,sr_wm_ref,66936.06757501268,all-SPW-states,late-deprivation,Segundo
delta,mpta_wm_ref,21277.364181219935,all-SPW-states,late-deprivation,Segundo
