property,value,state,condition,subject
count,0.0,NREM,late-deprivation,Valentino
rate,,NREM,late-deprivation,Valentino
duration,0.057999999999992724,wake,late-deprivation,Valentino
sink_amplitude,0.04388950844827946,wake,late-deprivation,Valentino
sink_integral,1.6215099852734527,wake,late-deprivation,Valentino
count,1582.0,wake,late-deprivation,Valentino
rate,0.4394685663859991,wake,late-deprivation,Valentino
duration,0.057999999999992724,all-SPW-states,late-deprivation,Valentino
sink_amplitude,0.04388950844827946,all-SPW-states,late-deprivation,Valentino
sink_integral,1.6215099852734527,all-SPW-states,late-deprivation,Valentino
count,1582.0,all-SPW-states,late-deprivation,Valentino
rate,0.4394685663859991,all-SPW-states,late-deprivation,Valentino
duration,0.05919994046848842,NREM,recovery,Doppio
sink_amplitude,0.04261031714152286,NREM,recovery,Doppio
sink_integral,1.6615375521786486,NREM,recovery,Doppio
count,10143.0,NREM,recovery,Doppio
rate,0.8482208960290072,NREM,recovery,Doppio
duration,0.05719994248011062,wake,recovery,Doppio
sink_amplitude,0.04391106270152525,wake,recovery,Doppio
sink_integral,1.692283771420973,wake,recovery,Doppio
count,1454.0,wake,recovery,Doppio
rate,0.27506514607709837,wake,recovery,Doppio
duration,0.05879994087081286,all-SPW-states,recovery,Doppio
sink_amplitude,0.042760681984050516,all-SPW-states,recovery,Doppio
sink_integral,1.6646685818278342,all-SPW-states,recovery,Doppio
count,11597.0,all-SPW-states,recovery,Doppio
rate,0.6725241483235898,all-SPW-states,recovery,Doppio
duration,0.059999939664066915,NREM,early-recovery,Doppio
sink_amplitude,0.04391854479924115,NREM,early-recovery,Doppio
sink_integral,1.7138661946974416,NREM,early-recovery,Doppio
count,3089.0,NREM,early-recovery,Doppio
rate,0.9053341189374248,NREM,early-recovery,Doppio
duration,0.059999939664066915,wake,early-recovery,Doppio
sink_amplitude,0.045032976147807935,wake,early-recovery,Doppio
sink_integral,1.797986911959903,wake,early-recovery,Doppio
count,682.0,wake,early-recovery,Doppio
rate,0.23582130846933935,wake,early-recovery,Doppio
duration,0.05999993966361217,all-SPW-states,early-recovery,Doppio
sink_amplitude,0.044490796215266346,all-SPW-states,early-recovery,Doppio
sink_integral,1.7225084096088967,all-SPW-states,early-recovery,Doppio
count,2681.0,all-SPW-states,early-recovery,Doppio
rate,0.8007765866843041,all-SPW-states,early-recovery,Doppio
duration,0.05799994167529121,NREM,late-recovery,Doppio
sink_amplitude,0.04222199081968605,NREM,late-recovery,Doppio
sink_integral,1.614011730416693,NREM,late-recovery,Doppio
count,2781.0,NREM,late-recovery,Doppio
rate,0.7896081763169888,NREM,late-recovery,Doppio
duration,0.05599994368640182,wake,late-recovery,Doppio
sink_amplitude,0.04369546694165257,wake,late-recovery,Doppio
sink_integral,1.6610879079058245,wake,late-recovery,Doppio
count,963.0,wake,late-recovery,Doppio
rate,0.3242423980054281,wake,late-recovery,Doppio
duration,0.05679994288152557,all-SPW-states,late-recovery,Doppio
sink_amplitude,0.042273767420645196,all-SPW-states,late-recovery,Doppio
sink_integral,1.627004428579317,all-SPW-states,late-recovery,Doppio
count,1634.0,all-SPW-states,late-recovery,Doppio
rate,0.45770304993163013,all-SPW-states,late-recovery,Doppio
duration,0.05959994006633451,NREM,first2h-recovery,Doppio
sink_amplitude,0.042952942483176944,NREM,first2h-recovery,Doppio
sink_integral,1.694098486833402,NREM,first2h-recovery,Doppio
count,6281.0,NREM,first2h-recovery,Doppio
rate,0.8767460612384822,NREM,first2h-recovery,Doppio
duration,0.05719994248011062,wake,first2h-recovery,Doppio
