band,region,power,state,condition,subject
fast_gamma,sr_wm_ref,8521.158926822623,NREM,deprivation,Segundo
low_delta,mpta_wm_ref,11667.748230643725,wake,deprivation,Segundo
low_delta,sr_wm_ref,74621.15553437498,wake,deprivation,Segundo
delta,mpta_wm_ref,21547.547347994605,wake,deprivation,Segundo
delta,sr_wm_ref,183662.7356201127,wake,deprivation,Segundo
theta,mpta_wm_ref,11424.364319668457,wake,deprivation,Segundo
theta,sr_wm_ref,230616.26104424006,wake,deprivation,Segundo
fast_gamma,mpta_wm_ref,1908.4860271217567,wake,deprivation,Segundo
fast_gamma,sr_wm_ref,6732.125110966223,wake,deprivation,Segundo
low_delta,mpta_wm_ref,15590.047838683764,all-SPW-states,deprivation,Segundo
low_delta,sr_wm_ref,79995.75291521117,all-SPW-states,deprivation,Segundo
delta,mpta_wm_ref,43642.03148564089,all-SPW-states,deprivation,Segundo
delta,sr_wm_ref,200348.81596400813,all-SPW-states,deprivation,Segundo
theta,mpta_wm_ref,15691.079609553713,all-SPW-states,deprivation,Segundo
theta,sr_wm_ref,238421.31821466956,all-SPW-states,deprivation,Segundo
fast_gamma,mpta_wm_ref,1889.8932042705496,all-SPW-states,deprivation,Segundo
fast_gamma,sr_wm_ref,6803.656554982765,all-SPW-states,deprivation,Segundo
low_delta,mpta_wm_ref,109766.23807911495,NREM,early-deprivation,Segundo
low_delta,sr_wm_ref,209042.2705157063,NREM,early-deprivation,Segundo
delta,mpta_wm_ref,574140.6035850149,NREM,early-deprivation,Segundo
delta,sr_wm_ref,600989.1631757987,NREM,early-deprivation,Segundo
theta,mpta_wm_ref,118136.84637819247,NREM,early-deprivation,Segundo
theta,sr_wm_ref,425824.27626842336,NREM,early-deprivation,Segundo
fast_gamma,mpta_wm_ref,1443.4711057769207,NREM,early-deprivation,Segundo
fast_gamma,sr_wm_ref,8521.158926822623,NREM,early-deprivation,Segundo
low_delta,mpta_wm_ref,10955.573373893587,wake,early-deprivation,Segundo
low_delta,sr_wm_ref,63889.48452516289,wake,early-deprivation,Segundo
delta,mpta_wm_ref,18046.708884527434,wake,early-deprivation,Segundo
delta,sr_wm_ref,145132.57794029027,wake,early-deprivation,Segundo
theta,mpta_wm_ref,8185.493203577843,wake,early-deprivation,Segundo
theta,sr_wm_ref,198782.03357374377,wake,early-deprivation,Segundo
fast_gamma,mpta_wm_ref,1738.0963251396356,wake,early-deprivation,Segundo
fast_gamma,sr_wm_ref,5229.574111239629,wake,early-deprivation,Segundo
low_delta,mpta_wm_ref,10955.573373893587,all-SPW-states,early-deprivation,Segundo
low_delta,sr_wm_ref,63889.48452516289,all-SPW-states,early-deprivation,Segundo
delta,mpta_wm_ref,18046.708884527434,all-SPW-states,early-deprivation,Segundo
delta,sr_wm_ref,145132.57794029027,all-SPW-states,early-deprivation,Segundo
theta,mpta_wm_ref,8185.493203577843,all-SPW-states,early-deprivation,Segundo
theta,sr_wm_ref,198782.03357374377,all-SPW-states,early-deprivation,Segundo
fast_gamma,mpta_wm_ref,1738.0963251396356,all-SPW-states,early-deprivation,Segundo
fast_gamma,sr_wm_ref,5229.574111239629,all-SPW-states,early-deprivation,Segundo
low_delta,mpta_wm_ref,109766.23807911495,NREM,late-deprivation,Segundo
low_delta,sr_wm_ref,209042.2705157063,NREM,late-deprivation,Segundo
delta,mpta_wm_ref,574140.6035850149,NREM,late-deprivation,Segundo
delta,sr_wm_ref,600989.1631757987,NREM,late-deprivation,Segundo
theta,mpta_wm_ref,118136.84637819247,NREM,late-deprivation,Segundo
theta,sr_wm_ref,425824.27626842336,NREM,late-deprivation,Segundo
fast_gamma,mpta_wm_ref,1443.4711057769207,NREM,late-deprivation,Segundo
fast_gamma,sr_wm_ref,8521.158926822623,NREM,late-deprivation,Segundo
low_delta,mpta_wm_ref,12322.483290397491,wake,late-deprivation,Segundo
low_delta,sr_wm_ref,93335.38976586438,wake,late-deprivation,Segundo
delta,mpta_wm_ref,27118.416661268886,wake,late-deprivation,Segundo
delta,sr_wm_ref,230982.29017301177,wake,late-deprivation,Segundo
theta,mpta_wm_ref,14392.856098527442,wake,late-deprivation,Segundo
theta,sr_wm_ref,262208.43168403965,wake,late-deprivation,Segundo
fast_gamma,mpta_wm_ref,1982.2939535161072,wake,late-deprivation,Segundo
fast_gamma,sr_wm_ref,7754.671037212284,wake,late-deprivation,Segundo
low_delta,mpta_wm_ref,37604.38289638505,all-SPW-states,late-deprivation,Segundo
low_delta,sr_wm_ref,118281.74829656756,all-SPW-states,late-deprivation,Segundo
delta,mpta_wm_ref,168745.3532334115,all-SPW-states,late-deprivation,Segundo
delta,sr_wm_ref,311175.2329835034,all-SPW-states,late-deprivation,Segundo
theta,mpta_wm_ref,40669.03642744168,all-SPW-states,late-deprivation,Segundo
theta,sr_wm_ref,303079.3028848875,all-SPW-states,late-deprivation,Segundo
fast_gamma,mpta_wm_ref,1853.622396344688,all-SPW-states,late-deprivation,Segundo
fast_gamma,sr_wm_ref,7877.992166485222,all-SPW-states,late-deprivation,Segundo
low_delta,mpta_wm_ref,47377.18520400606,NREM,recovery,Valentino
low_delta,sr_wm_ref,256218.18283669226,NREM,recovery,Valentino
